probability_bin,n,avg_forecast,observed_yes_rate,brier,log_loss
"(-0.001, 0.1]",248,0.02791935483870968,0.008064516129032258,0.008518566532258064,0.05043704441489267
"(0.1, 0.2]",34,0.15705882352941175,0.058823529411764705,0.06123158823529412,0.25386901549030894
"(0.2, 0.3]",45,0.2551777777777778,0.13333333333333333,0.13087205555555556,0.4380459341440404
"(0.3, 0.4]",53,0.35298113207547166,0.32075471698113206,0.2251293962264151,0.6433262854219804
"(0.4, 0.5]",88,0.4574147727272727,0.375,0.23953261647727275,0.672125327261485
"(0.5, 0.6]",67,0.5534850746268657,0.47761194029850745,0.25550977985074624,0.7042060628518617
"(0.6, 0.7]",39,0.6477948717948718,0.717948717948718,0.20971841025641028,0.6109056641801741
"(0.7, 0.8]",49,0.7423979591836735,0.6326530612244898,0.23740198469387755,0.6688656925593557
"(0.8, 0.9]",19,0.833,0.8947368421052632,0.1037672105263158,0.372212957506183
"(0.9, 1.0]",50,0.9625100000000001,1.0,0.0017347850000000015,0.03839103723107856
